node_1;node_2;chunk_id;count;edge
access_token claim scope;attribut 'holder';16c0011aec834c7c836c7efc336e76ac,16c0011aec834c7c836c7efc336e76ac;2;contextual proximity
access_token claim scope;operation 'delete_directory_entry';16c0011aec834c7c836c7efc336e76ac,16c0011aec834c7c836c7efc336e76ac,16c0011aec834c7c836c7efc336e76ac;3;contextual proximity
access_token claim scope;operation 'modify_directory_entry';16c0011aec834c7c836c7efc336e76ac,16c0011aec834c7c836c7efc336e76ac,16c0011aec834c7c836c7efc336e76ac,16c0011aec834c7c836c7efc336e76ac;4;contextual proximity
access_token claim scope;parameter 'uid';16c0011aec834c7c836c7efc336e76ac,16c0011aec834c7c836c7efc336e76ac;2;contextual proximity
access_token claim scope;vzd;16c0011aec834c7c836c7efc336e76ac,16c0011aec834c7c836c7efc336e76ac;2;contextual proximity
add-request;fad;ccbd572b377d443a913c83785fc31dcc,ccbd572b377d443a913c83785fc31dcc,ccbd572b377d443a913c83785fc31dcc;3;contextual proximity
add-request;vzd;ccbd572b377d443a913c83785fc31dcc,ccbd572b377d443a913c83785fc31dcc,ccbd572b377d443a913c83785fc31dcc,ccbd572b377d443a913c83785fc31dcc,ccbd572b377d443a913c83785fc31dcc;5;contextual proximity
add_directory_entry - read_directory_entry - modify_directory_entry - delete_directory_entry;filteroptionen;31e4d69223c0428d8a2c4c3f0ed52a93,31e4d69223c0428d8a2c4c3f0ed52a93;2;contextual proximity
add_directory_entry - read_directory_entry - modify_directory_entry - delete_directory_entry;operationen;31e4d69223c0428d8a2c4c3f0ed52a93,31e4d69223c0428d8a2c4c3f0ed52a93;2;contextual proximity
add_directory_entry - read_directory_entry - modify_directory_entry - delete_directory_entry;parameter;31e4d69223c0428d8a2c4c3f0ed52a93,31e4d69223c0428d8a2c4c3f0ed52a93;2;contextual proximity
add_directory_entry - read_directory_entry - modify_directory_entry - delete_directory_entry;schnittstelle i_directory_maintenance;31e4d69223c0428d8a2c4c3f0ed52a93,31e4d69223c0428d8a2c4c3f0ed52a93;2;contextual proximity
add_directory_entry - read_directory_entry - modify_directory_entry - delete_directory_entry;vzd;31e4d69223c0428d8a2c4c3f0ed52a93,31e4d69223c0428d8a2c4c3f0ed52a93;2;contextual proximity
add_directory_entry - read_directory_entry - modify_directory_entry - delete_directory_entry;wildcard suche (*);31e4d69223c0428d8a2c4c3f0ed52a93,31e4d69223c0428d8a2c4c3f0ed52a93;2;contextual proximity
add_directory_entry operation;directoryentry administration;b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d;3;contextual proximity
add_directory_entry operation;distinguished name;b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d;3;contextual proximity
add_directory_entry operation;ldap-verzeichnis;b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d;3;contextual proximity
add_directory_entry operation;metadaten;b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d;3;contextual proximity
add_directory_entry operation;operation getinfo;b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d;9;contextual proximity
add_directory_entry operation;rest-request get;b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d;3;contextual proximity
add_directory_entry operation;spezifikation verzeichnisdienst;b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d;6;contextual proximity
add_directory_entry operation;vzd;b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d,b4bc6604e933452a980ee29850194d2d;9;contextual proximity
afo-id, titel der afo, text / beschreibung;produkttyp;fccf651661294faea9a65c96811723a0,fccf651661294faea9a65c96811723a0;2;contextual proximity
afo-id, titel der afo, text / beschreibung;spezifikation des verzeichnisdienstes;fccf651661294faea9a65c96811723a0,fccf651661294faea9a65c96811723a0,fccf651661294faea9a65c96811723a0,fccf651661294faea9a65c96811723a0;4;contextual proximity
afo-id, titel der afo, text / beschreibung;vzd;fccf651661294faea9a65c96811723a0,fccf651661294faea9a65c96811723a0;2;contextual proximity
anbieter des vzd;einträge;a93f6b15f6fd4c858049dd0f4b10a660,a93f6b15f6fd4c858049dd0f4b10a660;2;contextual proximity
anbieter des vzd;erweiterbarkeit;a93f6b15f6fd4c858049dd0f4b10a660,a93f6b15f6fd4c858049dd0f4b10a660;2;contextual proximity
anbieter des vzd;fachdaten neuer fachanwendungen;a93f6b15f6fd4c858049dd0f4b10a660,a93f6b15f6fd4c858049dd0f4b10a660;2;contextual proximity
anbieter des vzd;gelöschte daten;a93f6b15f6fd4c858049dd0f4b10a660,a93f6b15f6fd4c858049dd0f4b10a660;2;contextual proximity
anbieter des vzd;generische fehlercodes;a93f6b15f6fd4c858049dd0f4b10a660,a93f6b15f6fd4c858049dd0f4b10a660;2;contextual proximity
anbieter des vzd;gültige ru-/tu-zertifikate;a93f6b15f6fd4c858049dd0f4b10a660,a93f6b15f6fd4c858049dd0f4b10a660;2;contextual proximity
anbieter des vzd;gültigkeitsprüfung des zertifikats;a93f6b15f6fd4c858049dd0f4b10a660,a93f6b15f6fd4c858049dd0f4b10a660;2;contextual proximity
anbieter des vzd;ipv4 and ipv6;a93f6b15f6fd4c858049dd0f4b10a660,a93f6b15f6fd4c858049dd0f4b10a660;2;contextual proximity
anbieter des vzd;kom-le adressen;a93f6b15f6fd4c858049dd0f4b10a660,a93f6b15f6fd4c858049dd0f4b10a660;2;contextual proximity
anbieter des vzd;lokale speicher;a93f6b15f6fd4c858049dd0f4b10a660,a93f6b15f6fd4c858049dd0f4b10a660;2;contextual proximity
anbieter des vzd;ocsp-abfrage;a93f6b15f6fd4c858049dd0f4b10a660,a93f6b15f6fd4c858049dd0f4b10a660;2;contextual proximity
anbieter des vzd;private schlüssel;a93f6b15f6fd4c858049dd0f4b10a660,a93f6b15f6fd4c858049dd0f4b10a660;2;contextual proximity
anbieter des vzd;professionoid bzw. entrytype;a93f6b15f6fd4c858049dd0f4b10a660,a93f6b15f6fd4c858049dd0f4b10a660;2;contextual proximity
